class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
0,ffffcc99d054b48b703fc9214acf2b361cfb32429266119e92c9edd6bbfd2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,fffe138bb4286bbf04c8f0de23b8189569b4fe6856d91793163118abf73d0a9e,0,9,12,1,0,1,2,0,1,0,0,0,0,0,0,0,0,55,0,290,78,1,46,0,0,2,1,3,0,0,0,0,0,0,290,0,0,21,0,1,78,0,1,1,0,0,-1,-1,-1,0,6,7,1,0,0,1,0,0,2,1513085,0,0,0,0,0,0,0,1847.793103,177398,7,6501.589744,177250,47,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0.623557014,0.985671491,0.002664407,0.99999268,0.99999268,0.99999268,-1,-1,-1,0.474639811,0.70575684,0.00254729,2,13,33,1,4,7,9,2.768869988,1884.355166,26022.04638,7005.935808,546463,0,0,0,0,0,0,0,0,8,10,1,0,0,2,3
0,fffd8cce13c5f8e9942452de0f44d9a02d25bdfbcf42bf697798cafaf88b9829,0,57,74,1,0,11,6,8,0,0,1,0,0,0,0,0,8,7,0,83,19,2,9,0,0,0,2,2,0,0,0,0,0,0,83,0,0,2,0,2,19,0,2,2,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1138383301,17999,0,15048,0,0,0,0,0,0,0,491.9638554,10818,6,1588.315789,10754,21,0,1,1138383300,-18000,2635.146528,0,13,32,1,19,0,0,0,14,32,1,18,0,0,1,0.031366367,0.031366367,0.031366367,0.384660255,0.784501862,0.037488863,0.512005117,0.999885774,0.02412446,0.857914696,0.875836703,0.83999269,0.284661778,0.532976949,0.036346606,0,12,19,1,0,2,5,0.343773559,527.3855358,21886.48906,2303.841984,43773,0,0,0,0,0,0,0,2,43,80,1,14,16,7,5
0,fffd88c46a9065b3fe95cb0aa25cfe8cb5c689c91a41515720d02e588a2f2d12,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,176,9,0,2024,1602,1,185,0,0,12,0,12,0,0,0,0,0,0,2024,0,0,176,0,1,1647,45,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,3844224,0,0,0,0,0,0,0,509.2193676,18092,7,572.3052434,17881,23,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0.261250883,0.543485069,0.000561679,0.999996359,0.999996359,0.999996359,-1,-1,-1,0.247547697,0.5127056,0.000547114,1,10,20,1,3,3,4,3.499546651,542.7332013,6241.431783,666.9653912,1098492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,fffd78d087b6cca38e10da2ac9a8cb142a82c5fd71141f7e41af788977eab306,0,4,7,1,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,14,4,1,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,4,0,1,1,0,0,-1,-1,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78.33333333,102,43,1443,4187,45,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222761798,0.222761798,0.222761798,0.10704354,0.2064085,0.007678579,0.231934587,0.231934587,0.231934587,-1,-1,-1,0.005686299,0.005686299,0.005686299,0,0,0,0,0,0,0,0,1853.30755,24092.97591,6023.248494,24093,0,3,7,1,4,0,0,0,4,8,1,0,0,4,6
0,fffd2d2d53a9ae2b95bff939933386b899c8760121f75c460c9516de38be62d0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,32,5,0,92,26,2,25,0,0,0,0,0,0,0,0,0,0,0,92,0,0,16,0,2,26,0,2,2,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4318.858696,51737,9,14613.84615,51662,281,0,0,-1,-1,-1,0,9,32,1,23,0,0,0,9,32,1,23,0,0,0,-1,-1,-1,0.74853199,0.995163005,0.004053292,0.501290364,0.999990017,0.002590712,-1,-1,-1,0.789969788,0.973968083,0.003743804,1,23,33,1,2,5,3,0,4355.021692,25041.37343,15410.07633,400662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,fffcf5650c8c036b12a3d05a96a8bedea62d2b644a0160b376974f6bda0fb009,0,9,12,1,0,1,2,180,0,0,0,0,1,0,0,0,180,66,0,848,481,2,99,0,0,0,0,369,0,369,0,0,0,0,848,0,0,90,0,2,481,0,2,2,0,0,-1,-1,-1,1,11,18,1,2,3,2,0,0,40,4845,0,0,0,0,0,0,0,608.692217,9452,9,828.4740125,9397,23,0,0,-1,-1,-1,0,14,32,1,18,0,0,0,14,32,1,18,0,0,0,-1,-1,-1,0.483881639,0.962982419,0.020450221,0.508117456,0.999992653,0.016242258,0.116829413,0.182804843,0.051946573,0.555720413,0.955438943,0.020204098,1,23,34,1,3,5,3,0.008898987,642.0330181,6049.377711,1131.900206,544444,0,0,0,0,0,0,0,0,10,13,58,1,2,0,2
1,fffb0460035035143caddacef03b1f0cf1ac7800d472ab9aa8968e21c1d57d7c,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,11,2,1,1,0,0,0,0,0,0,0,3,0,2,0,11,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1,0,3,3,1,0,0,0,-1218993108,25199,0,0,0,0,0,0,0,0,0,1465.545455,15245,25,8,8,8,0,1,1218993107,-25200,2821.743303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014676329,0.014676329,0.014676329,0.04010109,0.04293283,0.03726935,0.999817307,0.999817307,0.999817307,-1,-1,-1,0.053772608,0.053772608,0.053772608,0,0,0,0,0,0,0,0,1492.818046,16420.98358,8210.495895,16421,0,0,0,0,0,0,0,0,2,2,1,0,0,0,5
0,fffae8ac3c6bacc44038cd79d193cb84904a1ea0a53fa27f20ce322792c8131d,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,154,0,171,167,2,66,0,0,0,0,0,0,0,0,0,0,0,171,6,0,2,0,2,167,0,0,0,0,1,1299494670,3600,2506.741262,2,10,26,1,4,7,5,1299494671,3601,0,0,0,0,0,0,0,0,0,1806.304094,206855,68,1627.658683,206789,21,0,0,-1,-1,-1,0,0,32,1,23,0,9,0,0,32,1,15,0,17,1,0.004619042,0.004619042,0.004619042,0.137024959,0.233062444,0.004850315,0.500920275,0.999983939,0.001856611,-1,-1,-1,0.098623603,0.158399717,0.038847488,1,10,21,1,2,4,5,0,1820.584785,155659.9222,1864.191606,311320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,fffa420a2194bdd3fe7f83c386d18495205d6810711206fad583573d3eeb09fe,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,6,0,0,36,29,2,3,0,0,0,1,1,0,0,0,0,0,0,36,7,0,3,0,2,29,0,0,0,0,1,1331850519,-25200,2569.156094,1,16,29,1,2,5,6,1331850520,-25199,0,27192,0,47,53,1,0,6,0,2022.611111,23188,31,2386.551724,23124,68,0,0,-1,-1,-1,0,0,32,1,16,0,16,0,0,32,1,19,0,13,1,-1,-1,-1,0.549618945,0.839316146,0.018296091,0.503442446,0.999931833,0.00695306,0.114111985,0.114111985,0.114111985,0.552736461,0.842383673,0.021622653,1,10,21,1,2,4,5,0.370720801,2037.472166,24449.65852,2529.275775,73349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,fff9aaa7af8d688ac5bdc65aafebe45429a4f965f7a636bad35922bf5b7193d8,0,7,43,2,27,9,0,0,1,0,0,0,0,0,0,0,0,8,0,644,14,2,13,0,0,0,2,5,0,3,0,0,0,0,648,0,0,2,0,2,15,1,2,2,0,1,1193616000,-1,3453.75,1,15,31,3,3,5,8,-42282,14399,4,22344,0,0,0,1,0,0,0,1057.381173,564398,8,46397,564287,239,0,2,1193658282,-14400,3453.872344,0,0,32,1,17,0,15,0,0,32,1,19,0,13,1,-1,-1,-1,0.764087386,0.881695746,0.027768115,0.937919243,0.999992958,0.875845528,0.87586102,0.87586102,0.87586102,0.452377901,0.877008812,0.02774699,1,10,20,1,3,3,4,0.031467808,1095.77006,355029.3225,47337.26351,710059,0,0,0,1,0,0,0,1,0,128,2,80,30,18,4
1,fff8a0e3e35e11bbc7d3cbfc9b8d49bd2314ee8da5352390484c0c10fd7d7793,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,1,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9737,77400,36,77371,77371,77371,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997413042,0.997413042,0.997413042,0.993455766,0.993455766,0.993455766,0.999935966,0.999935966,0.999935966,-1,-1,-1,0.000563496,0.000563496,0.000563496,0,0,0,0,0,0,0,0,9760.49878,78083.92192,78083.92192,78084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
